EmployeeID,FullName,Title,Birthdate,Gender,HireDate,JobTitle,AddressID,ModifiedDate
1,Peter Krebs,N/A,1982-11-03 00:00:00,M         ,2008-12-01 00:00:00,Production Control Manager,1,2019-01-01 00:00:00
2,Gordon Hee,N/A,1966-11-29 00:00:00,M         ,2010-01-11 00:00:00,Buyer,2,2019-01-01 00:00:00
3,Nuan Yu,N/A,1979-03-29 00:00:00,M         ,2009-01-06 00:00:00,Production Technician - WC50,3,2019-01-01 00:00:00
4,Erin Hagens,N/A,1971-01-04 00:00:00,F         ,2010-01-31 00:00:00,Buyer,5,2019-01-01 00:00:00
5,Dan Wilson,N/A,1976-01-06 00:00:00,M         ,2009-01-22 00:00:00,Database Administrator,6,2019-01-01 00:00:00
6,Gigi Matthew,N/A,1979-01-21 00:00:00,F         ,2009-01-16 00:00:00,Research and Development Engineer,7,2019-01-01 00:00:00
7,Min Su,N/A,1974-09-10 00:00:00,M         ,2010-01-24 00:00:00,Production Technician - WC20,8,2019-01-01 00:00:00
8,Shane Kim,N/A,1990-05-24 00:00:00,M         ,2009-02-08 00:00:00,Production Supervisor - WC45,9,2019-01-01 00:00:00
9,Terry Eminhizer,N/A,1986-02-04 00:00:00,M         ,2009-03-02 00:00:00,Marketing Specialist,10,2019-01-01 00:00:00
10,Greg Alderson,N/A,1970-10-18 00:00:00,M         ,2008-12-02 00:00:00,Production Technician - WC45,11,2019-01-01 00:00:00
11,Jason Watters,N/A,1988-12-07 00:00:00,M         ,2009-01-14 00:00:00,Production Technician - WC30,12,2019-01-01 00:00:00
12,Gail Erickson,Ms.,1952-09-27 00:00:00,F         ,2008-01-06 00:00:00,Design Engineer,13,2019-01-01 00:00:00
13,Olinda Turner,N/A,1970-04-04 00:00:00,F         ,2010-03-04 00:00:00,Production Technician - WC20,15,2019-01-01 00:00:00
14,Paul Komosinski,N/A,1980-11-13 00:00:00,M         ,2008-12-04 00:00:00,Production Technician - WC40,16,2019-01-01 00:00:00
15,Sylvester Valdez,N/A,1970-11-12 00:00:00,M         ,2009-12-11 00:00:00,Production Technician - WC20,17,2019-01-01 00:00:00
16,Russell King,N/A,1982-02-11 00:00:00,M         ,2009-02-21 00:00:00,Production Technician - WC30,18,2019-01-01 00:00:00
17,Mary Dempsey,N/A,1978-01-29 00:00:00,F         ,2011-02-14 00:00:00,Marketing Assistant,19,2019-01-01 00:00:00
18,Stuart Munson,N/A,1962-09-13 00:00:00,M         ,2008-12-02 00:00:00,Production Technician - WC45,21,2019-01-01 00:00:00
19,Terrence Earls,N/A,1984-12-08 00:00:00,M         ,2009-02-16 00:00:00,Production Technician - WC20,22,2019-01-01 00:00:00
20,Fukiko Ogisu,N/A,1970-11-24 00:00:00,M         ,2010-01-04 00:00:00,Buyer,23,2019-01-01 00:00:00
21,Samantha Smith,N/A,1987-11-22 00:00:00,F         ,2009-02-04 00:00:00,Production Technician - WC20,24,2019-01-01 00:00:00
22,Linda Moschell,N/A,1987-07-17 00:00:00,F         ,2008-12-25 00:00:00,Production Technician - WC50,26,2019-01-01 00:00:00
23,Suchitra Mohan,N/A,1987-06-10 00:00:00,F         ,2009-02-16 00:00:00,Production Technician - WC60,27,2019-01-01 00:00:00
24,Reinout Hillmann,N/A,1978-01-17 00:00:00,M         ,2010-12-25 00:00:00,Purchasing Assistant,28,2019-01-01 00:00:00
25,David Campbell,N/A,1974-02-11 00:00:00,M         ,2011-05-31 00:00:00,Sales Representative,29,2019-01-01 00:00:00
26,Rebecca Laszlo,N/A,1977-07-10 00:00:00,F         ,2008-12-29 00:00:00,Production Technician - WC60,30,2019-01-01 00:00:00
27,Paula Barreto de Mattos,N/A,1976-02-11 00:00:00,F         ,2008-12-06 00:00:00,Human Resources Manager,31,2019-01-01 00:00:00
28,Linda Meisner,N/A,1970-11-30 00:00:00,F         ,2009-12-17 00:00:00,Buyer,32,2019-01-01 00:00:00
29,Paul Singh,N/A,1990-11-04 00:00:00,M         ,2009-01-17 00:00:00,Production Technician - WC20,33,2019-01-01 00:00:00
30,Shammi Mohamed,N/A,1980-10-04 00:00:00,M         ,2008-12-24 00:00:00,Production Technician - WC40,34,2019-01-01 00:00:00
31,William Vong,N/A,1981-11-06 00:00:00,M         ,2009-01-07 00:00:00,Scheduling Assistant,35,2019-01-01 00:00:00
32,Patrick Wedge,N/A,1986-09-10 00:00:00,M         ,2010-02-01 00:00:00,Production Technician - WC10,36,2019-01-01 00:00:00
33,Andy Ruth,N/A,1983-10-20 00:00:00,M         ,2009-01-31 00:00:00,Production Technician - WC30,37,2019-01-01 00:00:00
34,Kok-Ho Loh,N/A,1980-04-28 00:00:00,M         ,2008-12-27 00:00:00,Production Supervisor - WC50,39,2019-01-01 00:00:00
35,Rostislav Shabalin,N/A,1977-09-13 00:00:00,M         ,2009-02-19 00:00:00,Production Technician - WC30,40,2019-01-01 00:00:00
36,Kevin Homer,N/A,1986-09-19 00:00:00,M         ,2009-12-25 00:00:00,Production Technician - WC10,41,2019-01-01 00:00:00
37,Peter Krebs,N/A,1982-11-03 00:00:00,M         ,2008-12-01 00:00:00,Production Control Manager,42,2019-01-01 00:00:00
38,Gordon Hee,N/A,1966-11-29 00:00:00,M         ,2010-01-11 00:00:00,Buyer,43,2019-01-01 00:00:00
39,Nuan Yu,N/A,1979-03-29 00:00:00,M         ,2009-01-06 00:00:00,Production Technician - WC50,44,2019-01-01 00:00:00
40,Erin Hagens,N/A,1971-01-04 00:00:00,F         ,2010-01-31 00:00:00,Buyer,46,2019-01-01 00:00:00
41,Dan Wilson,N/A,1976-01-06 00:00:00,M         ,2009-01-22 00:00:00,Database Administrator,47,2019-01-01 00:00:00
42,Gigi Matthew,N/A,1979-01-21 00:00:00,F         ,2009-01-16 00:00:00,Research and Development Engineer,48,2019-01-01 00:00:00
43,Min Su,N/A,1974-09-10 00:00:00,M         ,2010-01-24 00:00:00,Production Technician - WC20,49,2019-01-01 00:00:00
44,Shane Kim,N/A,1990-05-24 00:00:00,M         ,2009-02-08 00:00:00,Production Supervisor - WC45,50,2019-01-01 00:00:00
45,Terry Eminhizer,N/A,1986-02-04 00:00:00,M         ,2009-03-02 00:00:00,Marketing Specialist,51,2019-01-01 00:00:00
46,Greg Alderson,N/A,1970-10-18 00:00:00,M         ,2008-12-02 00:00:00,Production Technician - WC45,52,2019-01-01 00:00:00
47,Jason Watters,N/A,1988-12-07 00:00:00,M         ,2009-01-14 00:00:00,Production Technician - WC30,53,2019-01-01 00:00:00
48,Gail Erickson,Ms.,1952-09-27 00:00:00,F         ,2008-01-06 00:00:00,Design Engineer,54,2019-01-01 00:00:00
49,Olinda Turner,N/A,1970-04-04 00:00:00,F         ,2010-03-04 00:00:00,Production Technician - WC20,56,2019-01-01 00:00:00
50,Paul Komosinski,N/A,1980-11-13 00:00:00,M         ,2008-12-04 00:00:00,Production Technician - WC40,57,2019-01-01 00:00:00
51,Sylvester Valdez,N/A,1970-11-12 00:00:00,M         ,2009-12-11 00:00:00,Production Technician - WC20,58,2019-01-01 00:00:00
52,Russell King,N/A,1982-02-11 00:00:00,M         ,2009-02-21 00:00:00,Production Technician - WC30,59,2019-01-01 00:00:00
53,Mary Dempsey,N/A,1978-01-29 00:00:00,F         ,2011-02-14 00:00:00,Marketing Assistant,60,2019-01-01 00:00:00
54,Stuart Munson,N/A,1962-09-13 00:00:00,M         ,2008-12-02 00:00:00,Production Technician - WC45,62,2019-01-01 00:00:00
55,Terrence Earls,N/A,1984-12-08 00:00:00,M         ,2009-02-16 00:00:00,Production Technician - WC20,63,2019-01-01 00:00:00
56,Fukiko Ogisu,N/A,1970-11-24 00:00:00,M         ,2010-01-04 00:00:00,Buyer,64,2019-01-01 00:00:00
57,Samantha Smith,N/A,1987-11-22 00:00:00,F         ,2009-02-04 00:00:00,Production Technician - WC20,65,2019-01-01 00:00:00
58,Linda Moschell,N/A,1987-07-17 00:00:00,F         ,2008-12-25 00:00:00,Production Technician - WC50,67,2019-01-01 00:00:00
59,Suchitra Mohan,N/A,1987-06-10 00:00:00,F         ,2009-02-16 00:00:00,Production Technician - WC60,68,2019-01-01 00:00:00
60,Reinout Hillmann,N/A,1978-01-17 00:00:00,M         ,2010-12-25 00:00:00,Purchasing Assistant,69,2019-01-01 00:00:00
61,David Campbell,N/A,1974-02-11 00:00:00,M         ,2011-05-31 00:00:00,Sales Representative,70,2019-01-01 00:00:00
62,Rebecca Laszlo,N/A,1977-07-10 00:00:00,F         ,2008-12-29 00:00:00,Production Technician - WC60,71,2019-01-01 00:00:00
63,Paula Barreto de Mattos,N/A,1976-02-11 00:00:00,F         ,2008-12-06 00:00:00,Human Resources Manager,72,2019-01-01 00:00:00
64,Linda Meisner,N/A,1970-11-30 00:00:00,F         ,2009-12-17 00:00:00,Buyer,73,2019-01-01 00:00:00
65,Paul Singh,N/A,1990-11-04 00:00:00,M         ,2009-01-17 00:00:00,Production Technician - WC20,74,2019-01-01 00:00:00
66,Shammi Mohamed,N/A,1980-10-04 00:00:00,M         ,2008-12-24 00:00:00,Production Technician - WC40,75,2019-01-01 00:00:00
67,William Vong,N/A,1981-11-06 00:00:00,M         ,2009-01-07 00:00:00,Scheduling Assistant,76,2019-01-01 00:00:00
68,Patrick Wedge,N/A,1986-09-10 00:00:00,M         ,2010-02-01 00:00:00,Production Technician - WC10,77,2019-01-01 00:00:00
69,Andy Ruth,N/A,1983-10-20 00:00:00,M         ,2009-01-31 00:00:00,Production Technician - WC30,78,2019-01-01 00:00:00
70,Kok-Ho Loh,N/A,1980-04-28 00:00:00,M         ,2008-12-27 00:00:00,Production Supervisor - WC50,80,2019-01-01 00:00:00
71,Rostislav Shabalin,N/A,1977-09-13 00:00:00,M         ,2009-02-19 00:00:00,Production Technician - WC30,81,2019-01-01 00:00:00
72,Kevin Homer,N/A,1986-09-19 00:00:00,M         ,2009-12-25 00:00:00,Production Technician - WC10,82,2019-01-01 00:00:00
73,Peter Krebs,N/A,1982-11-03 00:00:00,M         ,2008-12-01 00:00:00,Production Control Manager,83,2019-01-01 00:00:00
74,Gordon Hee,N/A,1966-11-29 00:00:00,M         ,2010-01-11 00:00:00,Buyer,84,2019-01-01 00:00:00
75,Nuan Yu,N/A,1979-03-29 00:00:00,M         ,2009-01-06 00:00:00,Production Technician - WC50,85,2019-01-01 00:00:00
